mot	docs
physique	['67068', '67068', '67068', '67390', '68280', '68645', '68883', '69536', '69540', '70167', '70421', '70424', '72934', '73188', '73688', '74170', '75070', '75794']
:	['67068', '67068', '67068', '67068', '67068', '67071', '67071', '67386', '67387', '67388', '67388', '67553', '67553', '67553', '67555', '67555', '67556', '67556', '67557', '67561', '67561', '67794', '67794', '67794', '67795', '67795', '67799', '67802', '67803', '67803', '67803', '67804', '67937', '67938', '67938', '67938', '67938', '67939', '67939', '67945', '68273', '68273', '68275', '68275', '68276', '68276', '68276', '68278', '68383', '68383', '68383', '68383', '68386', '68392', '68638', '68639', '68640', '68642', '68644', '68881', '68882', '68882', '68882', '68883', '68885', '68886', '68889', '69177', '69178', '69180', '69180', '69181', '69182', '69184', '69186', '69533', '69533', '69534', '69534', '69535', '69536', '69536', '69541', '69813', '69820', '69821', '69821', '70161', '70162', '70162', '70163', '70166', '70170', '70170', '70421', '70424', '70425', '70428', '70743', '70749', '70751', '70752', '70753', '70753', '70915', '70916', '70916', '70917', '70918', '70921', '71357', '71358', '71358', '71359', '71361', '71361', '71366', '71614', '71615', '71615', '71617', '71617', '71620', '71621', '71835', '71835', '71835', '71836', '71837', '71838', '71840', '71840', '71842', '72114', '72115', '72115', '72117', '72118', '72119', '72122', '72393', '72393', '72395', '72395', '72396', '72397', '72398', '72398', '72399', '72399', '72400', '72629', '72630', '72632', '72633', '72634', '72932', '72932', '72934', '72935', '72937', '72937', '72939', '73182', '73182', '73182', '73183', '73184', '73185', '73186', '73430', '73430', '73431', '73433', '73436', '73437', '73685', '73689', '73875', '73875', '73876', '73878', '73878', '73879', '73880', '73880', '73880', '73881', '73884', '73884', '74167', '74168', '74169', '74170', '74171', '74173', '74174', '74174', '74175', '74176', '74176', '74176', '74176', '74449', '74451', '74453', '74454', '74455', '74456', '74457', '74457', '74746', '74747', '74748', '74748', '74749', '74751', '74752', '74752', '75064', '75065', '75066', '75069', '75458', '75459', '75461', '75463', '75464', '75465', '75466', '75789', '75790', '75792', '75793', '75796', '76206', '76209', '76209', '76211', '76212', '76507', '76508', '76509', '76510', '76511', '76512', '76512', '76513', '76514', '76515', '76516', '76516']
mathia	['67068', '67068', '67068', '67068', '67068', '67068', '67068', '67068', '67068', '67068']
Fink,	['67068', '67068']
bel	['67068', '68881', '70161', '71612', '71621', '72633', '72933', '74172', '75792']
exemple	['67068', '67068', '67383', '67385', '67386', '67387', '67554', '67795', '68273', '68387', '68639', '68643', '68881', '68881', '68886', '69177', '69181', '69537', '69811', '69816', '70165', '70166', '70420', '70421', '70751', '70753', '70915', '70915', '71357', '71621', '72393', '72393', '72632', '72636', '72933', '73430', '73877', '74449', '74452', '74744', '74745', '74752', '75788', '75790', '76511']
chercheur	['67068', '67383', '67383', '67386', '67389', '67937', '67938', '67939', '68276', '68280', '68390', '68641', '68643', '68643', '68882', '68882', '69533', '69812', '69812', '69812', '69812', '70421', '70421', '70421', '70421', '70426', '70744', '71612', '71835', '71837', '72115', '72394', '72394', '72630', '72630', '72932', '73184', '73432', '73434', '73435', '73435', '74168', '74752', '74752', '75458', '75459', '75459', '75790', '75792', '75792']
innove	['67068', '68383', '74455', '75457']
le	['67068', '67068', '67068', '67068', '67068', '67383', '67383', '67385', '67385', '67385', '67386', '67386', '67387', '67388', '67388', '67388', '67389', '67390', '67390', '67391', '67392', '67392', '67553', '67553', '67553', '67553', '67555', '67555', '67556', '67556', '67556', '67556', '67556', '67557', '67558', '67558', '67558', '67561', '67794', '67794', '67797', '67798', '67798', '67800', '67801', '67802', '67802', '67802', '67803', '67804', '67937', '67937', '67937', '67939', '67939', '67939', '67939', '67939', '67939', '67941', '67941', '67942', '67942', '67945', '67946', '68273', '68274', '68274', '68274', '68276', '68277', '68278', '68281', '68283', '68383', '68385', '68386', '68387', '68388', '68388', '68389', '68389', '68389', '68389', '68389', '68393', '68393', '68393', '68638', '68638', '68638', '68639', '68639', '68641', '68644', '68645', '68881', '68881', '68881', '68881', '68881', '68882', '68882', '68882', '68882', '68884', '68885', '68886', '68886', '68887', '68888', '68889', '68889', '68889', '69177', '69177', '69177', '69178', '69179', '69179', '69180', '69181', '69182', '69183', '69184', '69185', '69185', '69186', '69186', '69186', '69533', '69533', '69533', '69534', '69534', '69535', '69535', '69535', '69537', '69538', '69539', '69540', '69540', '69541', '69541', '69542', '69543', '69811', '69812', '69813', '69814', '70161', '70161', '70161', '70162', '70162', '70162', '70162', '70163', '70163', '70164', '70167', '70168', '70169', '70420', '70420', '70420', '70421', '70421', '70421', '70421', '70423', '70424', '70424', '70424', '70424', '70424', '70425', '70425', '70425', '70428', '70744', '70746', '70747', '70747', '70749', '70751', '70753', '70914', '70916', '70916', '70916', '70916', '70916', '70916', '70919', '71357', '71357', '71358', '71358', '71358', '71358', '71358', '71358', '71359', '71361', '71361', '71361', '71361', '71363', '71363', '71363', '71366', '71366', '71612', '71612', '71614', '71614', '71614', '71614', '71616', '71616', '71616', '71617', '71618', '71618', '71620', '71621', '71835', '71836', '71836', '71837', '71837', '71837', '71837', '71839', '71840', '71840', '71840', '71843', '71845', '71845', '72113', '72114', '72114', '72114', '72115', '72115', '72116', '72116', '72117', '72120', '72121', '72122', '72122', '72392', '72392', '72392', '72392', '72394', '72396', '72397', '72397', '72399', '72400', '72400', '72400', '72401', '72630', '72630', '72631', '72631', '72632', '72635', '72636', '72636', '72932', '72932', '72933', '72933', '72933', '72934', '72934', '72937', '72938', '72938', '73182', '73182', '73182', '73182', '73184', '73184', '73189', '73190', '73430', '73431', '73432', '73433', '73434', '73434', '73434', '73435', '73437', '73683', '73684', '73688', '73689', '73691', '73876', '73876', '73876', '73876', '73878', '73879', '73879', '73882', '73884', '74167', '74168', '74168', '74172', '74174', '74174', '74175', '74176', '74449', '74450', '74450', '74450', '74450', '74450', '74451', '74453', '74454', '74454', '74455', '74456', '74456', '74457', '74744', '74744', '74744', '74746', '74746', '74747', '74748', '74752', '75064', '75066', '75067', '75067', '75068', '75070', '75071', '75457', '75458', '75458', '75460', '75461', '75462', '75464', '75465', '75466', '75788', '75788', '75788', '75789', '75789', '75793', '75794', '75794', '75794', '75794', '75795', '75796', '75796', '75796', '75797', '76207', '76208', '76208', '76209', '76210', '76210', '76212', '76213', '76213', '76507', '76508', '76508', '76508', '76509', '76510', '76511', '76514', '76516', '76516', '76516', '76516']
27	['67068', '67383', '69538', '69542', '70161', '70161', '70163', '70165', '72396', '73437', '75464']
avril	['67068', '67383', '67555', '68640', '69186', '69543', '70165', '70167', '72393', '72399', '72936', '73188', '75459', '75794', '76208', '76209', '76509', '76509', '76511', '76511']
dernier,	['67068', '67383', '67795', '67937', '68274', '68277', '68278', '68280', '68384', '68386', '68386', '68389', '68638', '68639', '68640', '68881', '68881', '68884', '68887', '68888', '69177', '69177', '69177', '69179', '69180', '69184', '69185', '69534', '69535', '69811', '69812', '70161', '70162', '70165', '70166', '70743', '70914', '70922', '71357', '71358', '71362', '71612', '71615', '71836', '72113', '72396', '72630', '72633', '72636', '72933', '73185', '73435', '73437', '73683', '73687', '73687', '73875', '73877', '74167', '74170', '74170', '74449', '74450', '74746', '74746', '75067', '75069', '76208', '76509', '76509', '76511']
CNRS	['67068', '67068', '67383', '67383', '67383', '67390', '67558', '67802', '67937', '67937', '67937', '67937', '67937', '67943', '67945', '68280', '68384', '68389', '68390', '68641', '68641', '68646', '69178', '69181', '69814', '70424', '70744', '70745', '70916', '72932', '72939', '72940', '72940', '73183', '73183', '73431', '73683', '73683', '73683', '74452', '74752', '75063']
décerner	['67068', '67937', '67937', '67937', '70752']
